year,month,month_name,week,district,current_price,previous_week_price,previous_month_price,previous_year_price,change_previous_week,change_previous_month,change_previous_year
2026,2,February,1,Nagercoil (Kannyiakumari),3848.24,3770.85,4290.23,4716.06,0.02,-0.103,-0.184
2026,2,February,1,Namakkal,3008.37,3297.42,3424.26,4580.71,-0.088,-0.122,-0.343
2026,2,February,1,Perambalur,3175.41,3431.52,3917.69,4832.69,-0.075,-0.189,-0.343
2026,2,February,1,Pudukkottai,3446.64,3466.36,3851.69,4944.33,-0.006,-0.105,-0.303
2026,2,February,1,Ramanathapuram,3225.61,3638.92,3852.82,5094.41,-0.114,-0.163,-0.367
2026,2,February,1,Ranipet,2882.39,2985.65,3287.47,4528.98,-0.035,-0.123,-0.364
2026,2,February,1,Salem,3171.1,3290.31,3882.37,5077.9,-0.036,-0.183,-0.375
2026,2,February,1,Sivaganga,3025.73,3515.57,4107.49,5264.52,-0.139,-0.263,-0.425
2026,2,February,1,Tenkasi,3069.14,3495.63,3601.02,4492.65,-0.122,-0.148,-0.317
2026,2,February,1,Thanjavur,3299.49,3411.73,3676.72,4668.93,-0.033,-0.103,-0.293
2026,2,February,1,The Nilgiris,2916.97,3200.0,3737.25,4599.58,-0.088,-0.219,-0.366
2026,2,February,1,Theni,2802.17,3258.73,3415.97,4328.57,-0.14,-0.18,-0.353
2026,2,February,1,Thiruchirappalli,3349.44,3234.38,3766.08,4986.25,0.036,-0.111,-0.328
2026,2,February,1,Thirunelveli,2676.96,2999.55,3435.29,3978.41,-0.108,-0.221,-0.327
2026,2,February,1,Thirupathur,2891.56,2750.0,2892.44,4000.0,0.052,,-0.277
2026,2,February,1,Thirupur,2612.68,2703.87,2821.39,4205.88,-0.034,-0.074,-0.379
2026,2,February,1,Thiruvannamalai,2823.45,2968.69,3046.71,4277.52,-0.049,-0.073,-0.34
2026,2,February,1,Thiruvarur,3524.14,3565.38,3703.46,5180.97,-0.012,-0.048,-0.32
2026,2,February,1,Thiruvellore,2915.32,3152.92,3153.33,4224.76,-0.075,-0.075,-0.31
2026,2,February,1,Tuticorin,3407.92,3531.64,3898.2,5277.56,-0.035,-0.126,-0.354
2026,2,February,1,Vellore,2881.38,2981.91,3058.98,4169.59,-0.034,-0.058,-0.309
